id;name;category;price_eur_ttc;stock;delivery_delay;is_featured;description;image_url_1;image_url_2;image_url_3;image_url_4;image_url_5
20;Produit 20 Jeux & Jouets;Jeux & Jouets;111.95;15;Livraison sous 2 à 3 jours;False;Description détaillée du produit 20 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p20_1/600/400;;;;
21;Produit 21 Maison;Maison;52.89;15;Livraison sous 4 à 6 jours;False;Description détaillée du produit 21 dans la catégorie Maison.;https://picsum.photos/seed/p21_1/600/400;https://picsum.photos/seed/p21_2/600/400;https://picsum.photos/seed/p21_3/600/400;https://picsum.photos/seed/p21_4/600/400;
22;Produit 22 Électronique;Électronique;183.11;50;Livraison sous 3 à 5 jours;True;Description détaillée du produit 22 dans la catégorie Électronique.;https://picsum.photos/seed/p22_1/600/400;https://picsum.photos/seed/p22_2/600/400;https://picsum.photos/seed/p22_3/600/400;https://picsum.photos/seed/p22_4/600/400;https://picsum.photos/seed/p22_5/600/400
23;Produit 23 Cuisine;Cuisine;19.96;5;Livraison sous 3 à 5 jours;False;Description détaillée du produit 23 dans la catégorie Cuisine.;https://picsum.photos/seed/p23_1/600/400;https://picsum.photos/seed/p23_2/600/400;https://picsum.photos/seed/p23_3/600/400;https://picsum.photos/seed/p23_4/600/400;https://picsum.photos/seed/p23_5/600/400
24;Produit 24 Électronique;Électronique;98.37;5;Livraison sous 2 à 3 jours;False;Description détaillée du produit 24 dans la catégorie Électronique.;https://picsum.photos/seed/p24_1/600/400;https://picsum.photos/seed/p24_2/600/400;;;
25;Produit 25 Sport;Sport;11.74;0;Livraison sous 3 à 5 jours;True;Description détaillée du produit 25 dans la catégorie Sport.;https://picsum.photos/seed/p25_1/600/400;;;;
26;Produit 26 Électronique;Électronique;172.23;5;Livraison sous 3 à 5 jours;True;Description détaillée du produit 26 dans la catégorie Électronique.;https://picsum.photos/seed/p26_1/600/400;https://picsum.photos/seed/p26_2/600/400;https://picsum.photos/seed/p26_3/600/400;https://picsum.photos/seed/p26_4/600/400;
27;Produit 27 Cuisine;Cuisine;108.91;30;Livraison sous 2 à 3 jours;False;Description détaillée du produit 27 dans la catégorie Cuisine.;https://picsum.photos/seed/p27_1/600/400;https://picsum.photos/seed/p27_2/600/400;;;
28;Produit 28 Jeux & Jouets;Jeux & Jouets;168.23;5;Livraison sous 4 à 6 jours;True;Description détaillée du produit 28 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p28_1/600/400;https://picsum.photos/seed/p28_2/600/400;https://picsum.photos/seed/p28_3/600/400;https://picsum.photos/seed/p28_4/600/400;https://picsum.photos/seed/p28_5/600/400
29;Produit 29 Électronique;Électronique;56.04;15;Livraison sous 4 à 6 jours;False;Description détaillée du produit 29 dans la catégorie Électronique.;https://picsum.photos/seed/p29_1/600/400;https://picsum.photos/seed/p29_2/600/400;https://picsum.photos/seed/p29_3/600/400;https://picsum.photos/seed/p29_4/600/400;
30;Produit 30 Maison;Maison;171.09;5;Livraison sous 2 à 3 jours;False;Description détaillée du produit 30 dans la catégorie Maison.;https://picsum.photos/seed/p30_1/600/400;;;;
31;Produit 31 Cuisine;Cuisine;95.06;20;Livraison sous 3 à 5 jours;False;Description détaillée du produit 31 dans la catégorie Cuisine.;https://picsum.photos/seed/p31_1/600/400;;;;
32;Produit 32 Jeux & Jouets;Jeux & Jouets;108.73;15;Livraison sous 5 à 8 jours;True;Description détaillée du produit 32 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p32_1/600/400;;;;
33;Produit 33 Cuisine;Cuisine;106.52;0;Livraison sous 3 à 5 jours;True;Description détaillée du produit 33 dans la catégorie Cuisine.;https://picsum.photos/seed/p33_1/600/400;;;;
34;Produit 34 Électronique;Électronique;198.58;0;Livraison sous 4 à 6 jours;True;Description détaillée du produit 34 dans la catégorie Électronique.;https://picsum.photos/seed/p34_1/600/400;https://picsum.photos/seed/p34_2/600/400;https://picsum.photos/seed/p34_3/600/400;https://picsum.photos/seed/p34_4/600/400;https://picsum.photos/seed/p34_5/600/400
35;Produit 35 Sport;Sport;15.56;50;Livraison sous 4 à 6 jours;True;Description détaillée du produit 35 dans la catégorie Sport.;https://picsum.photos/seed/p35_1/600/400;;;;
36;Produit 36 Cuisine;Cuisine;98.66;0;Livraison sous 4 à 6 jours;False;Description détaillée du produit 36 dans la catégorie Cuisine.;https://picsum.photos/seed/p36_1/600/400;https://picsum.photos/seed/p36_2/600/400;https://picsum.photos/seed/p36_3/600/400;https://picsum.photos/seed/p36_4/600/400;
37;Produit 37 Maison;Maison;91.43;5;Livraison sous 5 à 8 jours;False;Description détaillée du produit 37 dans la catégorie Maison.;https://picsum.photos/seed/p37_1/600/400;https://picsum.photos/seed/p37_2/600/400;https://picsum.photos/seed/p37_3/600/400;https://picsum.photos/seed/p37_4/600/400;
38;Produit 38 Jeux & Jouets;Jeux & Jouets;192.41;0;Livraison sous 2 à 3 jours;True;Description détaillée du produit 38 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p38_1/600/400;https://picsum.photos/seed/p38_2/600/400;https://picsum.photos/seed/p38_3/600/400;https://picsum.photos/seed/p38_4/600/400;https://picsum.photos/seed/p38_5/600/400
39;Produit 39 Sport;Sport;35.61;20;Livraison sous 3 à 5 jours;False;Description détaillée du produit 39 dans la catégorie Sport.;https://picsum.photos/seed/p39_1/600/400;https://picsum.photos/seed/p39_2/600/400;;;
40;Produit 40 Sport;Sport;194.43;50;Livraison sous 3 à 5 jours;False;Description détaillée du produit 40 dans la catégorie Sport.;https://picsum.photos/seed/p40_1/600/400;;;;
41;Produit 41 Cuisine;Cuisine;74.36;50;Livraison sous 2 à 3 jours;True;Description détaillée du produit 41 dans la catégorie Cuisine.;https://picsum.photos/seed/p41_1/600/400;;;;
42;Produit 42 Jeux & Jouets;Jeux & Jouets;160.82;15;Livraison sous 4 à 6 jours;False;Description détaillée du produit 42 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p42_1/600/400;https://picsum.photos/seed/p42_2/600/400;https://picsum.photos/seed/p42_3/600/400;https://picsum.photos/seed/p42_4/600/400;https://picsum.photos/seed/p42_5/600/400
43;Produit 43 Maison;Maison;160.5;30;Livraison sous 5 à 8 jours;True;Description détaillée du produit 43 dans la catégorie Maison.;https://picsum.photos/seed/p43_1/600/400;https://picsum.photos/seed/p43_2/600/400;https://picsum.photos/seed/p43_3/600/400;https://picsum.photos/seed/p43_4/600/400;https://picsum.photos/seed/p43_5/600/400
44;Produit 44 Jeux & Jouets;Jeux & Jouets;56.58;15;Livraison sous 5 à 8 jours;True;Description détaillée du produit 44 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p44_1/600/400;https://picsum.photos/seed/p44_2/600/400;https://picsum.photos/seed/p44_3/600/400;https://picsum.photos/seed/p44_4/600/400;
45;Produit 45 Sport;Sport;163.77;5;Livraison sous 3 à 5 jours;True;Description détaillée du produit 45 dans la catégorie Sport.;https://picsum.photos/seed/p45_1/600/400;https://picsum.photos/seed/p45_2/600/400;https://picsum.photos/seed/p45_3/600/400;https://picsum.photos/seed/p45_4/600/400;https://picsum.photos/seed/p45_5/600/400
46;Produit 46 Cuisine;Cuisine;35.86;5;Livraison sous 2 à 3 jours;False;Description détaillée du produit 46 dans la catégorie Cuisine.;https://picsum.photos/seed/p46_1/600/400;;;;
47;Produit 47 Cuisine;Cuisine;15.0;30;Livraison sous 3 à 5 jours;True;Description détaillée du produit 47 dans la catégorie Cuisine.;https://picsum.photos/seed/p47_1/600/400;https://picsum.photos/seed/p47_2/600/400;;;
48;Produit 48 Électronique;Électronique;166.98;30;Livraison sous 3 à 5 jours;True;Description détaillée du produit 48 dans la catégorie Électronique.;https://picsum.photos/seed/p48_1/600/400;https://picsum.photos/seed/p48_2/600/400;;;
49;Produit 49 Cuisine;Cuisine;10.34;20;Livraison sous 5 à 8 jours;False;Description détaillée du produit 49 dans la catégorie Cuisine.;https://picsum.photos/seed/p49_1/600/400;https://picsum.photos/seed/p49_2/600/400;https://picsum.photos/seed/p49_3/600/400;https://picsum.photos/seed/p49_4/600/400;https://picsum.photos/seed/p49_5/600/400
50;Produit 50 Jeux & Jouets;Jeux & Jouets;180.67;10;Livraison sous 3 à 5 jours;False;Description détaillée du produit 50 dans la catégorie Jeux & Jouets.;https://picsum.photos/seed/p50_1/600/400;;;;
